"baker","series","episode","technical","result","signature_bake","show_stopper","baker_age","baker_occupation","hometown"
"Alice","10","1","5","IN",NA,NA,NA,NA,NA
"Alice","10","10","2","Runner-up",NA,NA,NA,NA,NA
"Alice","10","2","1","STAR BAKER",NA,NA,NA,NA,NA
"Alice","10","3","7","IN",NA,NA,NA,NA,NA
"Alice","10","4","8","IN",NA,NA,NA,NA,NA
"Alice","10","5","6","IN",NA,NA,NA,NA,NA
"Alice","10","6","1","IN",NA,NA,NA,NA,NA
"Alice","10","7","6","IN",NA,NA,NA,NA,NA
"Alice","10","8","3","IN",NA,NA,NA,NA,NA
"Alice","10","9","4","STAR BAKER",NA,NA,NA,NA,NA
"Amelia","10","1","4","IN",NA,NA,NA,NA,NA
"Amelia","10","10",NA,NA,NA,NA,NA,NA,NA
"Amelia","10","2","9","IN",NA,NA,NA,NA,NA
"Amelia","10","3","11","OUT",NA,NA,NA,NA,NA
"Amelia","10","4",NA,NA,NA,NA,NA,NA,NA
"Amelia","10","5",NA,NA,NA,NA,NA,NA,NA
"Amelia","10","6",NA,NA,NA,NA,NA,NA,NA
"Amelia","10","7",NA,NA,NA,NA,NA,NA,NA
"Amelia","10","8",NA,NA,NA,NA,NA,NA,NA
"Amelia","10","9",NA,NA,NA,NA,NA,NA,NA
"Antony","9","1","12","IN",NA,NA,NA,NA,NA
"Antony","9","10",NA,NA,NA,NA,NA,NA,NA
"Antony","9","2","9","IN",NA,NA,NA,NA,NA
"Antony","9","3","8","OUT",NA,NA,NA,NA,NA
"Antony","9","4",NA,NA,NA,NA,NA,NA,NA
"Antony","9","5",NA,NA,NA,NA,NA,NA,NA
"Antony","9","6",NA,NA,NA,NA,NA,NA,NA
"Antony","9","7",NA,NA,NA,NA,NA,NA,NA
"Antony","9","8",NA,NA,NA,NA,NA,NA,NA
"Antony","9","9",NA,NA,NA,NA,NA,NA,NA
"baker","series","episode","technical","result",NA,NA,NA,NA,NA
"Briony","9","1","2","IN",NA,NA,NA,NA,NA
"Briony","9","10",NA,NA,NA,NA,NA,NA,NA
"Briony","9","2","5","IN",NA,NA,NA,NA,NA
"Briony","9","3","9","IN",NA,NA,NA,NA,NA
"Briony","9","4","5","IN",NA,NA,NA,NA,NA
"Briony","9","5","6","IN",NA,NA,NA,NA,NA
"Briony","9","6","1","STAR BAKER",NA,NA,NA,NA,NA
"Briony","9","7","5","IN",NA,NA,NA,NA,NA
"Briony","9","8","1","IN",NA,NA,NA,NA,NA
"Briony","9","9","3","OUT",NA,NA,NA,NA,NA
"Dan","10","1","9","OUT",NA,NA,NA,NA,NA
"Dan","10","10",NA,NA,NA,NA,NA,NA,NA
"Dan","10","2",NA,NA,NA,NA,NA,NA,NA
"Dan","10","3",NA,NA,NA,NA,NA,NA,NA
"Dan","10","4",NA,NA,NA,NA,NA,NA,NA
"Dan","10","5",NA,NA,NA,NA,NA,NA,NA
"Dan","10","6",NA,NA,NA,NA,NA,NA,NA
"Dan","10","7",NA,NA,NA,NA,NA,NA,NA
"Dan","10","8",NA,NA,NA,NA,NA,NA,NA
"Dan","10","9",NA,NA,NA,NA,NA,NA,NA
"Dan","9","1","4","IN",NA,NA,NA,NA,NA
"Dan","9","10",NA,NA,NA,NA,NA,NA,NA
"Dan","9","2","3","IN",NA,NA,NA,NA,NA
"Dan","9","3","6","IN",NA,NA,NA,NA,NA
"Dan","9","4","1","STAR BAKER",NA,NA,NA,NA,NA
"Dan","9","5","2","IN",NA,NA,NA,NA,NA
"Dan","9","6","6","OUT",NA,NA,NA,NA,NA
"Dan","9","7",NA,NA,NA,NA,NA,NA,NA
"Dan","9","8",NA,NA,NA,NA,NA,NA,NA
